,S.NO,SALONS,January,February,March,April,May,June,July,August,September,October,November,December,2023 Cumm
,1,EA,2779677,2290109,2556687,2807264,2969591,2526615,2990561,3016605,2602356,2508797,2632804,3728430,33409496
,2,Anna,2220487,1747359,2070540,2322272,2202780,2081833,2502426,2522238,2025981,2052551,2163212,2938330,26850009
,3,Adyar,2811246,2652816,2598691,3030815,2922693,3239438,3147382,3327392,2565878,2966113,2652633,4050887,35965984
,4,KNK,1410138,1213924,1251490,1683203,1552052,1461767,1569322,1641457,1420064,1653936,1403021,1776482,18036856
,5,Phnx,3238968,2623636,2903877,3083232,3406525,3240525,3258254,3103787,3047741,2500087,2508301,4211671,37126604
,6,Forum,1868973,1496168,1493158,1814884,2094956,2277935,2415817,2169173,2192128,2177999,1933188,2783515,24717894
,7,T nagar,1694519,1380266,1564764,1588456,1733510,1664385,1505813,1818540,1795438,1555480,1640207,2411601,20352979
,8,Hyd,1364188,1723246,1680251,1683514,2325872,1874680,2080175,2518062,1576186,1744871,1746411,2444958,22762414
,9,Chamiers,1857774,1303621,1476438,1684619,1246989,1305235,1324011,1397561,1555237,1512318,1202767,1543489,17410059
,10,Poes,1626018,1465596,1286143,1563154,1339551,1347528,1597063,1585813,1485781,1602647,1668958,1993788,18562040
,11,ECR,1792028,1643674,1603343,1689117,1596029,1785523,1588732,1734726,1463288,1587028,1291584,2201995,19977067
,12,Grand Mall,487950,645335,475956,657922,565353,613587,591220,614274,527089,568678,407866,500296,6655526
,13,TG Kil,1360927,924449,1037657,1266137,1554479,1626370,1368653,1309658,1211997,1300267,1491358,1624032,16075984
,14,Palladium,1317494,992831,1458290,1427275,1350997,1268068,1356159,1721921,1326965,1119168,1480329,1512084,16331581
,15,Mogappair,1562593,1337304,1429071,1767592,1706511,1718190,1742336,1756833,1667157,1582441,1535022,2446430,20251480
,16,Ashok Nagar,1846761,1609981,1655536,1927532,1920780,1893408,1816605,2173113,1731804,1489186,1685501,2041009,21791216
,17,VR Mall,2522421,2162448,2217050,2852067,2735904,2752004,2676333,2900998,2426323,2171373,2600821,3216211,31233953
,18,Wallace,1105035,982976,1062563,1310618,1386643,1713966,1555771,1743965,1367322,1483635,1462237,1742325,16917056
,19,BSR Mall,874394,939248,1162688,1122742,1186017,1229354,1227546,1178232,924255,995615,1008080,1374699,13222870
,20,OMR,1900048,1529933,1751273,1708297,1757567,1480744,1472659,1502798,1271630,1337325,1393087,1878727,18984088
,21,Marina Mall,1719682,1353464,1685416,1728388,1706037,1504120,1689220,2241872,1851346,1557195,1647540,2175624,20859904
,22,Porur,1248005,1155135,1025976,1239319,1335623,1377600,1353118,1466588,1232329,1390594,1343596,1657508,15825391
,23,Periyar Nagar,1201884,809167,1189537,1305063,1157027,1084029,1074212,1007173,1057567,979469,1109743,1592959,13567830
,24,Madipakkam,1002630,825860,804612,1010196,969774,1114170,1036154,1089410,1026655,818297,1000561,1158801,11857120
,25,Alwarthiru,953484,954873,918780,1044341,1012568,995300,1226143,1073320,832270,818742,905340,1132199,11867360
,26,Ambattur,800631,914928,744994,928353,917873,911058,854370,938825,678320,804212,852827,965431,10311822
,27,Vepery ,679845,601835,672003,892260,824961,711265,587208,921513,702148,646829,831719,971020,9042606
,28,Ramapuram,641585,678129,529871,781446,617733,674763,618695,591348,555703,515800,477519,508378,7190970
,29,Madhavaram,809504,723539,526055,883473,748335,717160,694089,726918,673937,682976,773900,1035430,8995316
,30,Villivakam,634184,528631,477870,712855,630257,605452,514610,632280,523555,384054,464863,645857,6754468
,31,Kodambakkam,943385,587062,743520,930345,798260,801833,764608,828228,809282,779912,805093,1024434,9815962
,32,Choolaimedu,430617,431305,503528,719358,538925,633468,626637,664814,527951,546343,500358,634168,6757472
,33,Kolathur,746149,706482,853502,1038145,1039137,863787,1061214,1118521,868149,839957,762794,1037836,10935673
,34,Tambaram,246318,257494,204965,317043,440441,303441,459480,566600,456766,377019,330173,643838,4603578
,35,Avadi,262567,254359,232652,503601,506350,501265,511732,556358,497401,447820,291597,695965,5261667
,36,Mogappair East,,,,,,,,,159869,231063,211226,365375,967533
,37,Ess Kilp,1597044,1751411,1496411,1509666,1362986,1678904,1487838,1496585,1549731,1353617,1638290,2009334,18931817
,38,Ess Chinta,935232,769876,887254,951846,813378,1004297,959085,938809,705389,635410,765128,1179707,10545411
,39,Ess Bessy,1112165,840463,1205207,1193258,1509537,1186740,1407213,1826827,1292923,1040817,915042,1936747,15466939
,40,Ess Taylors ,771220,757271,590161,868399,761066,668531,689588,717858,714631,607427,669958,764808,8580918
,41,Pallikranai,,341855,477086,433107,405633,505058,493949,477541,594852,553220,492878,560670,5335849
,42,Selaiyur,,,,270363,554844,588304,664927,690361,730017,698882,525787,849025,5572510
,43,Aerohub,,,,,,10011,344342,510947,634186,640160,602555,916121,3658322
,44,HYD LULU,,,,,,,,,78439,693247,1000048,1027815,2799549
,45,Vivira Mall,,,,,,,,,,34015,152147,246679,432841
,46,Sekaran Mall,,,,,,,,,,,,35402,35402
,47,Ampa skyone,,,,,,,,,,,,247398,247398
,48,MR Nagar,,,,,,,,,,,,,0
,49,Thiruvottiyur,,,,,,,,,,,,,0
,50,VELACHERY,,,,,,,,,,,,,0
,51,Royapuram,,,,,,,,,,,,,0
,,,52377770,45908059,48504866,56251537,56205544,55541711,56905270,60819842,52938036,51986592,52978069,72439488,662856784
